index,name,trips,lat,lon,trips_scaled
3403,Fulham - Knightsbridge,37248,"(51.47634, 51.49808)","(-0.21127, -0.16788)",0.1431563816376103
5094,Monument - Strand,37237,"(51.50981, 51.51027)","(-0.08432, -0.12048)",0.1431141038649571
6310,Stockwell - Westminster,37208,"(51.4741, 51.49676)","(-0.11947, -0.13301)",0.14300264428250775
4100,Hyde Park - Soho,37162,"(51.50562, 51.5134)","(-0.16149, -0.13325)",0.14282584632413983
106,Aldgate - Waterloo,36965,"(51.51398, 51.50095)","(-0.07464, -0.11342)",0.1420686898502598
9,Aldgate - Bermondsey,36936,"(51.51398, 51.49718)","(-0.07464, -0.073)",0.14195723026781046
1166,Bermondsey - South Bank,36846,"(51.49718, 51.50561)","(-0.073, -0.1129)",0.14161132121882974
4331,Kensington - West Chelsea,36822,"(51.50034, 51.48226)","(-0.19268, -0.17975)",0.14151907880576822
759,Battersea - Victoria,36796,"(51.47151, 51.49382)","(-0.16366, -0.14285)",0.14141914952495155
5509,Paddington - Westminster,36795,"(51.51778, 51.49676)","(-0.17339, -0.13301)",0.141415306091074
1285,Bethnal Green - Victoria Park,36577,"(51.52744, 51.53902)","(-0.05739, -0.03903)",0.14057743750576512
5830,Sands End - Wandsworth,36572,"(51.47049, 51.45998)","(-0.18915, -0.19446)",0.14055822033637733
2100,Chelsea - Fulham,36538,"(51.48862, 51.47634)","(-0.16723, -0.21127)",0.14042754358454015
4613,Limehouse - Poplar,36520,"(51.5121, 51.51362)","(-0.03294, -0.01592)",0.140358361774744
2538,Clerkenwell - Waterloo,36509,"(51.5262, 51.50095)","(-0.10962, -0.11342)",0.1403160840020908
3835,Hammersmith - Wandsworth,36504,"(51.48948, 51.45998)","(-0.22358, -0.19446)",0.14029686683270298
4465,King's Cross - Westminster,36429,"(51.53367, 51.49676)","(-0.12209, -0.13301)",0.14000860929188572
1222,Bethnal Green - Hackney Central,36409,"(51.52744, 51.53829)","(-0.05739, -0.05902)",0.13993174061433444
1306,Blackwall - Canary Wharf,36328,"(51.5072, 51.50414)","(-0.0059, -0.0204)",0.1396204224702518
5542,Parson's Green - Walham Green,36297,"(51.47204, 51.47731)","(-0.20051, -0.19283)",0.13950127602004733
3462,Fulham - West Chelsea,36273,"(51.47634, 51.48226)","(-0.21127, -0.17975)",0.1394090336069858
1910,Camden Town - Fitzrovia,36132,"(51.53821, 51.51986)","(-0.14134, -0.13867)",0.13886710943024935
1484,Bloomsbury - The Regent's Park,36129,"(51.52292, 51.53038)","(-0.12635, -0.15448)",0.13885557912861665
2141,Chelsea - Sands End,35798,"(51.48862, 51.47049)","(-0.16723, -0.18915)",0.13758340251514312
1580,Borough - Stockwell,35725,"(51.49946, 51.4741)","(-0.09326, -0.11947)",0.13730283184208097
3127,Euston - The Regent's Park,35530,"(51.5261, 51.53038)","(-0.13489, -0.15448)",0.13655336223595607
1175,Bermondsey - Strand,35519,"(51.49718, 51.51027)","(-0.073, -0.12048)",0.13651108446330287
6370,Temple - Westminster,35491,"(51.5121, 51.49676)","(-0.10936, -0.13301)",0.1364034683147311
5891,Shadwell - Stepney,35293,"(51.51053, 51.51704)","(-0.05564, -0.04924)",0.1356424684069735
2627,Covent Garden - Waterloo,35178,"(51.51554, 51.50095)","(-0.12301, -0.11342)",0.1352004735110537
2122,Chelsea - Mayfair,35128,"(51.48862, 51.50988)","(-0.16723, -0.1479)",0.13500830181717552
5744,Queen Elizabeth Olympic Park - Stratford,35085,"(51.54529, 51.5418)","(-0.01581, -0.00481)",0.1348430341604403
1534,Borough - Kennington,34966,"(51.49946, 51.48872)","(-0.09326, -0.10729)",0.1343856655290102
3367,Fitzrovia - Strand,34796,"(51.51986, 51.51027)","(-0.13867, -0.12048)",0.1337322817698244
6462,Walham Green - West Kensington,34714,"(51.47731, 51.4876)","(-0.19283, -0.20617)",0.1334171201918642
6515,Wapping - Whitechapel,34655,"(51.50669, 51.51808)","(-0.06397, -0.06597)",0.13319035759308795
3997,Hoxton - King's Cross,34603,"(51.53134, 51.53367)","(-0.08565, -0.12209)",0.13299049903145466
710,Battersea - Knightsbridge,34429,"(51.47151, 51.49808)","(-0.16366, -0.16788)",0.13232174153675857
1273,Bethnal Green - St. Luke's,34378,"(51.52744, 51.52613)","(-0.05739, -0.0929)",0.13212572640900283
6222,St. Paul's - Strand,34368,"(51.51356, 51.51027)","(-0.0994, -0.12048)",0.1320872920702272
6305,Stockwell - Waterloo,34300,"(51.4741, 51.50095)","(-0.11947, -0.11342)",0.1318259385665529
496,Bankside - Liverpool Street,34272,"(51.50618, 51.51883)","(-0.09824, -0.08165)",0.1317183224179811
5108,Monument - Waterloo,34235,"(51.50981, 51.50095)","(-0.08432, -0.11342)",0.13157611536451125
130,Angel - Camden Town,34068,"(51.53324, 51.53821)","(-0.10652, -0.14134)",0.13093426190695814
4844,Marylebone - Notting Hill,34016,"(51.51948, 51.51034)","(-0.15783, -0.19818)",0.13073440334532482
659,Barbican - Waterloo,33994,"(51.52011, 51.50095)","(-0.09512, -0.11342)",0.13064984780001843
10,Aldgate - Bethnal Green,33796,"(51.51398, 51.52744)","(-0.07464, -0.05739)",0.12988884789226085
2569,Covent Garden - King's Cross,33708,"(51.51554, 51.53367)","(-0.12301, -0.12209)",0.12955062571103526
2450,Clapham Junction - West Chelsea,33649,"(51.46406, 51.48226)","(-0.17169, -0.17975)",0.129323863112259
4125,Hyde Park - Waterloo,33478,"(51.50562, 51.50095)","(-0.16149, -0.11342)",0.12866663591919564
2815,Earl's Court - Fulham,33236,"(51.49213, 51.47634)","(-0.19276, -0.21127)",0.12773652492082524
6190,St. James's - Westminster,33177,"(51.50703, 51.49676)","(-0.1332, -0.13301)",0.127509762322049
1413,Bloomsbury - Covent Garden,33171,"(51.52292, 51.51554)","(-0.12635, -0.12301)",0.12748670171878362
343,Bank - Bermondsey,33014,"(51.5128, 51.49718)","(-0.09163, -0.073)",0.12688328260000614
593,Barbican - Holborn,32904,"(51.52011, 51.51776)","(-0.09512, -0.11324)",0.12646050487347413
5336,Old Ford - Shoreditch,32742,"(51.53424, 51.52416)","(-0.03165, -0.07619)",0.12583786858530885
5975,Shoreditch - Waterloo,32633,"(51.52416, 51.50095)","(-0.07619, -0.11342)",0.1254189342926544
376,Bank - Hoxton,32601,"(51.5128, 51.53134)","(-0.09163, -0.08565)",0.1252959444085724
3866,Holborn - Moorgate,32514,"(51.51776, 51.5203)","(-0.11324, -0.08794)",0.12496156566122436
2487,Clerkenwell - Marylebone,32364,"(51.5262, 51.51948)","(-0.10962, -0.15783)",0.12438505057958983
2029,Canary Wharf - Mile End,32359,"(51.50414, 51.52326)","(-0.0204, -0.03619)",0.124365833410202
4262,Kennington - Waterloo,32354,"(51.48872, 51.50095)","(-0.10729, -0.11342)",0.1243466162408142
4715,Liverpool Street - Westminster,32256,"(51.51883, 51.49676)","(-0.08165, -0.13301)",0.12396995972081296
758,Battersea - Vauxhall,32232,"(51.47151, 51.49028)","(-0.16366, -0.1185)",0.12387771730775143
6419,Vauxhall - West End,32218,"(51.49028, 51.50988)","(-0.1185, -0.13306)",0.12382390923346555
640,Barbican - St. Luke's,32184,"(51.52011, 51.52613)","(-0.09512, -0.0929)",0.12369323248162839
772,Battersea - Westminster,32138,"(51.47151, 51.49676)","(-0.16366, -0.13301)",0.12351643452326046
77,Aldgate - Shadwell,32112,"(51.51398, 51.51053)","(-0.07464, -0.05564)",0.12341650524244381
2177,Chelsea - Westminster,32110,"(51.48862, 51.49676)","(-0.16723, -0.13301)",0.12340881837468869
6106,South Bank - Westminster,32084,"(51.50561, 51.49676)","(-0.1129, -0.13301)",0.12330888909387203
1568,Borough - Shoreditch,32044,"(51.49946, 51.52416)","(-0.09326, -0.07619)",0.12315515173876948
4907,Mayfair - Pimlico,31965,"(51.50988, 51.48891)","(-0.1479, -0.13785)",0.12285152046244197
57,Aldgate - Mile End,31926,"(51.51398, 51.52326)","(-0.07464, -0.03619)",0.12270162654121698
2121,Chelsea - Marylebone,31908,"(51.48862, 51.51948)","(-0.16723, -0.15783)",0.12263244473142083
3894,Holborn - St. Paul's,31882,"(51.51776, 51.51356)","(-0.11324, -0.0994)",0.12253251545060419
2417,Clapham Junction - Sands End,31802,"(51.46406, 51.47049)","(-0.17169, -0.18915)",0.1222250407403991
3124,Euston - Strand,31658,"(51.5261, 51.51027)","(-0.13489, -0.12048)",0.12167158626202995
3113,Euston - Soho,31529,"(51.5261, 51.5134)","(-0.13489, -0.13325)",0.12117578329182424
4510,Knightsbridge - Strand,31447,"(51.49808, 51.51027)","(-0.16788, -0.12048)",0.12086062171386404
2824,Earl's Court - Hyde Park,31412,"(51.49213, 51.50562)","(-0.19276, -0.16149)",0.1207261015281493
3551,Hackney Central - Hoxton,31367,"(51.53829, 51.53134)","(-0.05902, -0.08565)",0.12055314700365895
1123,Bermondsey - Holborn,31308,"(51.49718, 51.51776)","(-0.073, -0.11324)",0.12032638440488269
3891,Holborn - Southwark,31293,"(51.51776, 51.50394)","(-0.11324, -0.10448)",0.12026873289671924
595,Barbican - Hoxton,31278,"(51.52011, 51.53134)","(-0.09512, -0.08565)",0.12021108138855578
1958,Camden Town - Soho,31250,"(51.53821, 51.5134)","(-0.14134, -0.13325)",0.12010346523998401
3547,Hackney Central - Haggerston,31159,"(51.53829, 51.53581)","(-0.05902, -0.07083)",0.11975371275712572
