,Station_name,Count_trips_starting_here,Count_trips_ending_here,All_trips_starting_ending_here,Station_latitude,Station_longitude,Borough
728,"Seville Street, Knightsbridge",77602,79593,157195,51.50185512,-0.159237081,Kensington and Chelsea
729,"Penywern Road, Earl's Court",77591,74604,152195,51.49159394,-0.192369256,Kensington and Chelsea
730,"Queen's Gate (North), Kensington",76819,77560,154379,51.50102668,-0.180246101,Kensington and Chelsea
731,"Royal Avenue 2, Chelsea",76278,77572,153850,51.490083,-0.162418,Kensington and Chelsea
732,"Harcourt Terrace, West Brompton",75168,71756,146924,51.48795853,-0.187404506,Kensington and Chelsea
733,"Turquoise Island, Notting Hill",74737,72416,147153,51.51431171,-0.200838199,Kensington and Chelsea
734,"Harriet Street, Knightsbridge",74400,79348,153748,51.50024195,-0.15934065,Kensington and Chelsea
735,"Phene Street, Chelsea",73677,72387,146064,51.48498496,-0.167919869,Kensington and Chelsea
736,"Kensington Church Street, Kensington",73132,73143,146275,51.50315739,-0.191496313,Kensington and Chelsea
737,"Gloucester Road (North), Kensington",72155,72573,144728,51.49792478,-0.183834706,Kensington and Chelsea
738,"Warwick Road, Olympia",70977,70488,141465,51.49671237,-0.20528437,Kensington and Chelsea
739,"Bevington Road West, North Kensington",68044,67137,135181,51.5212,-0.208888173,Kensington and Chelsea
740,"Queen's Gate (South), South Kensington",67762,67119,134881,51.49247977,-0.178433004,Kensington and Chelsea
741,"Natural History Museum, South Kensington",67610,72211,139821,51.49559291,-0.179077626,Kensington and Chelsea
742,"St. Luke's Church, Chelsea",67576,67822,135398,51.48971651,-0.170194408,Kensington and Chelsea
743,"World's End Place, West Chelsea",66439,66216,132655,51.48180515,-0.18027465,Kensington and Chelsea
744,"Lansdowne Road, Ladbroke Grove",66267,66032,132299,51.50748124,-0.205535908,Kensington and Chelsea
745,"Holy Trinity Brompton, Knightsbridge",64751,70884,135635,51.49705603,-0.168917077,Kensington and Chelsea
746,"Pont Street, Knightsbridge",63745,67444,131189,51.4968865,-0.161203828,Kensington and Chelsea
747,"Trebovir Road, Earl's Court",61131,59504,120635,51.49085368,-0.196170309,Kensington and Chelsea
748,"Danvers Street, West Chelsea",60576,59449,120025,51.48256792,-0.172078187,Kensington and Chelsea
749,"Manresa Road, Chelsea",60077,60372,120449,51.486892,-0.170983,Kensington and Chelsea
750,"Lexham Gardens, Kensington",59984,57739,117723,51.49586666,-0.191933711,Kensington and Chelsea
751,"Blenheim Crescent, Ladbroke Grove",59509,59681,119190,51.51510818,-0.208565479,Kensington and Chelsea
752,"Cadogan Place, Knightsbridge",59144,67338,126482,51.49464523,-0.158105512,Kensington and Chelsea
753,"Ormonde Gate, Chelsea",58574,58495,117069,51.48796408,-0.161765173,Kensington and Chelsea
754,"Queen's Gate (Central), South Kensington",58562,59555,118117,51.49396755,-0.17873226,Kensington and Chelsea
755,"Emperor's Gate, South Kensington",57276,56906,114182,51.49536226,-0.185296516,Kensington and Chelsea
756,"Hortensia Road, West Brompton",57109,56192,113301,51.48176572,-0.185273723,Kensington and Chelsea
757,"Knaresborough Place, Earl's Court",56539,54940,111479,51.49363156,-0.190603326,Kensington and Chelsea
758,"Collingham Gardens, Earl's Court",53002,50714,103716,51.4916156,-0.186753859,Kensington and Chelsea
759,"Chepstow Villas, Notting Hill",52835,43963,96798,51.51213691,-0.201554966,Kensington and Chelsea
760,"Gloucester Road (Central), South Kensington",52134,51980,104114,51.49646288,-0.183289032,Kensington and Chelsea
761,"West Cromwell Road, Earl's Court",51653,49802,101455,51.49372451,-0.198286569,Kensington and Chelsea
762,"Lots Road, West Chelsea",51364,49601,100965,51.4795738,-0.17903854,Kensington and Chelsea
763,"Pembridge Villas, Notting Hill",50396,45259,95655,51.51108452,-0.197524944,Kensington and Chelsea
764,"Sumner Place, South Kensington",50109,51145,101254,51.49121192,-0.173715911,Kensington and Chelsea
765,"St. Mark's Road, North Kensington",48292,48371,96663,51.51687069,-0.213872396,Kensington and Chelsea
766,"Chelsea Green, Chelsea",48117,48731,96848,51.49066456,-0.166485083,Kensington and Chelsea
767,"Victoria & Albert Museum, South Kensington",47178,51765,98943,51.495898,-0.173009,Kensington and Chelsea
768,"Thorndike Close, West Chelsea",46593,42889,89482,51.48089844,-0.183853573,Kensington and Chelsea
769,"Argyll Road, Kensington",46514,46590,93104,51.50040123,-0.195455928,Kensington and Chelsea
770,"Holland Park, Kensington",45183,36096,81279,51.502319,-0.200742,Kensington and Chelsea
771,"South Parade, Chelsea",44831,45310,90141,51.48902,-0.17524,Kensington and Chelsea
772,"Upcerne Road, West Chelsea",44585,42341,86926,51.47816972,-0.18243547,Kensington and Chelsea
773,"Westbourne Park Road, Portobello",44494,41573,86067,51.51787005,-0.201005397,Kensington and Chelsea
774,"Nevern Place, Earl's Court",43023,40715,83738,51.49334336,-0.194757949,Kensington and Chelsea
775,"Royal Avenue 1, Chelsea",42043,43446,85489,51.489932,-0.162727,Kensington and Chelsea
776,"Kensington Olympia Station, Olympia",41318,38285,79603,51.49815779,-0.209494128,Kensington and Chelsea
777,"Abingdon Villas, Kensington",41292,40732,82024,51.4973875,-0.197245586,Kensington and Chelsea
778,"Hansard Mews, Holland Park",40363,43148,83511,51.503802,-0.215808,Kensington and Chelsea
779,"Princedale Road , Holland Park",39953,38925,78878,51.50646524,-0.208486599,Kensington and Chelsea
780,"Vicarage Gate, Kensington",36427,32834,69261,51.50472376,-0.192538767,Kensington and Chelsea
781,"Denyer Street, Knightsbridge",34924,35509,70433,51.49358391,-0.165101392,Kensington and Chelsea
782,"All Saints' Road, Portobello",34074,32544,66618,51.5190427,-0.204764421,Kensington and Chelsea
783,"Kensington Town Hall, Kensington",33283,32822,66105,51.50194596,-0.194392952,Kensington and Chelsea
784,"Marloes Road, Kensington",31547,30062,61609,51.496481,-0.192404,Kensington and Chelsea
785,"Exhibition Road Museums 1, South Kensington",31394,32890,64284,51.496468,-0.17379696,Kensington and Chelsea
786,"Exhibition Road Museums 2, South Kensington",30242,31019,61261,51.495947,-0.17368958,Kensington and Chelsea
787,"Clarendon Road, Avondale",30238,29724,59962,51.51323001,-0.211593602,Kensington and Chelsea
788,"Addison Road, Holland Park",27671,27167,54838,51.504199,-0.210941,Kensington and Chelsea
789,"Russell Gardens, Olympia",27034,25574,52608,51.500088,-0.211316,Kensington and Chelsea
790,"Campden Hill Road, Notting Hill",26665,20978,47643,51.50658458,-0.199004026,Kensington and Chelsea
791,"Walmer Road, Avondale",26063,25393,51456,51.510101,-0.211358,Kensington and Chelsea
792,"Abbotsbury Road, Holland Park",25939,24030,49969,51.501391,-0.205991,Kensington and Chelsea
793,"Ilchester Place, Kensington",24198,20433,44631,51.50074359,-0.202759212,Kensington and Chelsea
794,"Freston Road, Avondale",22366,23027,45393,51.5129814,-0.219486603,Kensington and Chelsea
795,"Grenfell Road, Avondale",22147,22016,44163,51.5129006,-0.214762686,Kensington and Chelsea
796,"Ladbroke Grove Central, Ladbroke Grove",21080,13101,34181,51.511624,-0.205921,Kensington and Chelsea
797,"Rifle Place, Avondale",20865,21115,41980,51.509224,-0.216016,Kensington and Chelsea
798,"Evesham Street, Avondale",20235,20940,41175,51.51148696,-0.218190203,Kensington and Chelsea
799,"Lansdowne Walk, Ladbroke Grove",18487,14316,32803,51.509591,-0.204666,Kensington and Chelsea
800,"Sirdar Road, Avondale",14509,14586,29095,51.51092871,-0.214594781,Kensington and Chelsea
