Unnamed: 0,Station_name,Count_trips_starting_here,Count_trips_ending_here,All_trips_starting_ending_here,Station_latitude,Station_longitude,Borough,scaled_trip_total
487,"Orsett Terrace, Bayswater",23367,19846,43213,51.517932,-0.183716959,Westminster,0.0525278131562157
488,"Clifford Street, Mayfair",19304,22719,42023,51.51066202,-0.142345694,Westminster,0.05107329081401915
489,"Paddington Green, Paddington",19181,16156,35337,51.520205,-0.174593,Westminster,0.04290107536870308
490,"Lord's, St. John's Wood",18191,13599,31790,51.5291212,-0.171185285,Westminster,0.03856562095881135
491,"London Street, Paddington",17862,16410,34272,51.515117,-0.17371276,Westminster,0.04159933898682129
492,"Portugal Street, Holborn",2210,2247,4457,51.51494305,-0.11614642,Westminster,0.0051568317325438985
493,"Brushfield Street, Liverpool Street",197293,230884,428177,51.518908,-0.079249,Tower Hamlets,0.5230645685691168
494,"Bethnal Green Road, Shoreditch",193064,194892,387956,51.52364804,-0.074754872,Tower Hamlets,0.47390293569055586
495,"Tower Gardens , Tower",178855,186964,365819,51.50950627,-0.075459482,Tower Hamlets,0.4468451532626525
496,"Royal London Hospital, Whitechapel",128321,128643,256964,51.518675,-0.06111,Tower Hamlets,0.31379302758214384
497,"Leman Street, Aldgate",121351,120537,241888,51.51236389,-0.06954201,Tower Hamlets,0.2953658184805008
498,"Nesham Street, Wapping",120385,119352,239737,51.507131,-0.06691,Tower Hamlets,0.2927366776754044
499,"Cleveland Way, Stepney",111274,110550,221824,51.520893,-0.051394,Tower Hamlets,0.2708418384184575
500,"Flamborough Street, Limehouse",108840,108187,217027,51.5128711,-0.0389866,Tower Hamlets,0.26497852440541814
501,"Braham Street, Aldgate",103539,105187,208726,51.51423368,-0.073537654,Tower Hamlets,0.2548323143528353
502,"Pritchard's Road, Bethnal Green",98308,94176,192484,51.532091,-0.06142,Tower Hamlets,0.23497991781337624
503,"Stepney Green Station, Stepney",97866,96746,194612,51.521889,-0.04667,Tower Hamlets,0.23758094600177476
504,"Fournier Street, Whitechapel",90854,92278,183132,51.519362,-0.074431,Tower Hamlets,0.2235490834064669
505,"New Road 1 , Whitechapel",90721,91334,182055,51.518154,-0.062697,Tower Hamlets,0.2222326795723949
506,"Westferry Circus, Canary Wharf",89693,93732,183425,51.50570304,-0.027772743,Tower Hamlets,0.2239072136974447
507,"Sutton Street, Shadwell",88723,83489,172212,51.511066,-0.053558,Tower Hamlets,0.21020170191336912
508,"Westferry DLR, Limehouse",86253,96048,182301,51.509303,-0.025996,Tower Hamlets,0.22253336234229432
509,"Shadwell Station, Shadwell",85969,80597,166566,51.511088,-0.057159,Tower Hamlets,0.20330066565787192
510,"Granby Street, Shoreditch",85121,81252,166373,51.525645,-0.069543,Tower Hamlets,0.2030647641351459
511,"Ansell House, Stepney",84299,78565,162864,51.520019,-0.05438,Tower Hamlets,0.19877575665718988
512,"Cadogan Close, Victoria Park",81748,82158,163906,51.54211855,-0.028941601,Tower Hamlets,0.20004938042237375
513,"Central House, Aldgate",79838,79596,159434,51.515231,-0.07015,Tower Hamlets,0.19458330990615275
514,"Pott Street, Bethnal Green",78559,76318,154877,51.527152,-0.058005,Tower Hamlets,0.18901334493691774
515,"Columbia Road, Shoreditch",76681,69998,146679,51.528187,-0.075375,Tower Hamlets,0.17899303051563425
516,"Brick Lane Market, Shoreditch",75086,75718,150804,51.52261762,-0.071653961,Tower Hamlets,0.18403496720602147
517,"Bonner Gate, Victoria Park",74380,72506,146886,51.53341,-0.049591815,Tower Hamlets,0.17924604406591554
518,"Jubilee Plaza, Canary Wharf",74117,76098,150215,51.50357,-0.020068,Tower Hamlets,0.18331503976101832
519,"Wapping Lane, Wapping",74097,73771,147868,51.504749,-0.057544,Tower Hamlets,0.1804463305701483
520,"Twig Folly Bridge, Mile End",73962,68731,142693,51.530326,-0.042744,Tower Hamlets,0.17412099181311708
521,"Dock Street, Wapping",73946,73908,147854,51.50978602,-0.068161981,Tower Hamlets,0.18042921854259303
522,"LMU Commercial Road, Whitechapel",73840,71646,145486,51.51492456,-0.066078037,Tower Hamlets,0.17753484131039016
523,"Monier Road, Hackney Wick",73359,73552,146911,51.5403115,-0.021630359,Tower Hamlets,0.17927660125797845
524,"Bow Church Station, Bow",72895,71050,143945,51.528169,-0.018703,Tower Hamlets,0.17565129599162976
525,"Queen Mary's, Mile End",71609,68502,140111,51.522507,-0.041378,Tower Hamlets,0.17096504501685533
526,"York Hall, Bethnal Green",71544,69239,140783,51.528936,-0.055894,Tower Hamlets,0.17178642233950753
527,"Upper Bank Street, Canary Wharf",70820,72904,143724,51.503083,-0.017676,Tower Hamlets,0.17538117041379325
528,"Watney Street, Shadwell",68476,63137,131613,51.511542,-0.056667,Tower Hamlets,0.16057804429081646
529,"Driffield Road, Old Ford",67580,65931,133511,51.534137,-0.037366,Tower Hamlets,0.1628979463122358
530,"Globe Town Market, Bethnal Green",67167,64020,131187,51.528869,-0.047548,Tower Hamlets,0.16005734973806374
531,"Saunders Ness Road, Cubitt Town",66777,72352,139129,51.487129,-0.0090011,Tower Hamlets,0.16976475851262257
532,"Bell Lane, Liverpool Street",66019,67707,133726,51.517475,-0.075855,Tower Hamlets,0.16316073816397725
533,"St. Katharine's Way, Tower",65245,63396,128641,51.505697,-0.070542,Tower Hamlets,0.15694540529837264
534,"Gunmakers Lane, Old Ford",63860,61996,125856,51.535179,-0.03338,Tower Hamlets,0.1535413341025597
535,"Old Montague Street, Whitechapel",63645,61994,125639,51.51793,-0.067937,Tower Hamlets,0.1532760976754533
536,"Furze Green, Bow",60823,59622,120445,51.519265,-0.021345,Tower Hamlets,0.14692753545245424
537,"Wellington Row, Bethnal Green",59770,55646,115416,51.528222,-0.069743,Tower Hamlets,0.1407806506970707
538,"Philpot Street, Whitechapel",59674,55759,115433,51.515256,-0.058641,Tower Hamlets,0.14080142958767344
539,"Reardon Street, Wapping",59289,57010,116299,51.506946,-0.058681,Tower Hamlets,0.14185993072073416
540,"Bethnal Green Garden, Bethnal Green",58571,56142,114713,51.52568,-0.055312,Tower Hamlets,0.13992138245626046
541,"Durant Street, Bethnal Green",58311,52354,110665,51.52868155,-0.065550321,Tower Hamlets,0.13497356191742715
542,"Albert Gardens, Stepney",58068,54063,112131,51.51328,-0.047784,Tower Hamlets,0.13676543565999866
543,"Commercial Street, Shoreditch",57830,59006,116836,51.52127071,-0.0755789,Tower Hamlets,0.14251629920624637
544,"Mile End Park Leisure Centre, Mile End",57430,55110,112540,51.52059714,-0.032566533,Tower Hamlets,0.13726535132214857
545,"Old Ford Road, Bethnal Green",57395,53886,111281,51.531127,-0.048017,Tower Hamlets,0.1357264911298583
546,"Fisherman's Walk West, Canary Wharf",57369,57918,115287,51.50623,-0.02296,Tower Hamlets,0.14062297558602582
547,"Mile End Stadium, Mile End",56004,53694,109698,51.51854104,-0.034903714,Tower Hamlets,0.13379160972843213
548,"Bow Road Station, Bow",55690,52571,108261,51.527058,-0.025296,Tower Hamlets,0.13203518232865358
549,"Clinton Road, Mile End",55688,56218,111906,51.525941,-0.036017,Tower Hamlets,0.1364904209314321
550,"Maplin Street, Mile End",55391,54829,110220,51.525501,-0.032267204,Tower Hamlets,0.1344296438987066
551,"Salmon Lane, Limehouse",55131,53876,109007,51.514115,-0.033828,Tower Hamlets,0.1329470089398121
552,"Burdett Road, Mile End",55070,54874,109944,51.516196,-0.029138,Tower Hamlets,0.1340922924983316
553,"Garnet Street, Shadwell",52675,50904,103579,51.508447,-0.055167,Tower Hamlets,0.1263124313991038
554,"Watney Market, Stepney",52610,49425,102035,51.5142228,-0.055656,Tower Hamlets,0.12442521921729585
555,"Wapping High Street, Wapping",50069,48882,98951,51.504904,-0.06797,Tower Hamlets,0.12065568400441001
556,"Bancroft Road, Bethnal Green",48071,43283,91354,51.526041,-0.047218,Tower Hamlets,0.11136996448031994
557,"Cephas Street, Bethnal Green",47835,43399,91234,51.522561,-0.054883,Tower Hamlets,0.11122328995841776
558,"Cheshire Street, Bethnal Green",47440,41978,89418,51.52388,-0.065076,Tower Hamlets,0.10900361552696489
559,"Jubilee Street, Stepney",47110,39703,86813,51.515975,-0.053177,Tower Hamlets,0.10581955611400522
560,"Antill Road, Mile End",46581,42602,89183,51.528224,-0.037471,Tower Hamlets,0.10871637792157313
561,"Hermitage Court, Wapping",46096,43584,89680,51.504719,-0.063531,Tower Hamlets,0.10932385489978463
562,"Hewison Street, Old Ford",45673,44970,90643,51.533283,-0.028155,Tower Hamlets,0.11050091793804957
563,"Ackroyd Drive, Bow",45524,41747,87271,51.520398,-0.026768,Tower Hamlets,0.10637936387259851
564,"Fashion Street, Whitechapel",45472,45452,90924,51.51838043,-0.073438925,Tower Hamlets,0.11084438077683716
565,"Finnis Street, Bethnal Green",45437,42205,87642,51.52458353,-0.058631453,Tower Hamlets,0.10683283260281273
566,"Palissy Street, Shoreditch",45160,40803,85963,51.526293,-0.073955,Tower Hamlets,0.10478061158386483
567,"Ford Road, Old Ford",43378,42644,86022,51.532513,-0.033085,Tower Hamlets,0.10485272655713339
568,"Lindfield Street, Poplar",42834,42165,84999,51.513757,-0.020467,Tower Hamlets,0.10360232625791736
569,"Mostyn Grove, Bow",41188,38559,79747,51.530535,-0.025492,Tower Hamlets,0.09718287134933226
570,"Rectory Square, Stepney",40754,37143,77897,51.518369,-0.043371,Tower Hamlets,0.09492163913667376
571,"East India DLR, Blackwall",39509,43000,82509,51.509474,-0.002275,Tower Hamlets,0.10055882992844728
572,"Wendon Street, Old Ford",39329,38362,77691,51.53603947,-0.026262677,Tower Hamlets,0.09466984787407504
573,"Chrisp Street Market, Poplar",38833,39334,78167,51.5112,-0.014438,Tower Hamlets,0.09525165681095366
574,"Lightermans Road, Millwall",38155,39400,77555,51.499041,-0.020157,Tower Hamlets,0.09450361674925258
575,"Harford Street, Mile End",38030,34783,72813,51.521564,-0.039264,Tower Hamlets,0.0887075285587517
576,"Aylward Street, Stepney",37340,33559,70899,51.51563007,-0.049067243,Tower Hamlets,0.08636806993441204
577,"Aston Street, Stepney",37003,35014,72017,51.516,-0.038775,Tower Hamlets,0.08773458756346729
578,"Devons Road, Bow",36534,36149,72683,51.52512,-0.015578,Tower Hamlets,0.08854863116002434
579,"Stainsby Road , Poplar",35822,33902,69724,51.51542791,-0.02356501,Tower Hamlets,0.08493188190745327
580,"Hollybush Gardens, Bethnal Green",35814,35547,71361,51.527607,-0.057133,Tower Hamlets,0.08693276684373541
581,"Selby Street, Whitechapel",32611,31389,64000,51.521905,-0.063386,Tower Hamlets,0.0779355072127196
582,"Buxton Street 1, Shoreditch",32428,29583,62011,51.521776,-0.068856,Tower Hamlets,0.07550437701219109
583,"Import Dock, Canary Wharf",32334,32649,64983,51.505772,-0.016460175,Tower Hamlets,0.07913701600463491
584,"Bromley High Street, Bow",31855,31501,63356,51.528828,-0.013258,Tower Hamlets,0.07714835394517795
585,"Clarkson Street, Bethnal Green",31501,27555,59056,51.528692,-0.059091,Tower Hamlets,0.07189251691035009
586,"Southern Grove, Bow",31140,28336,59476,51.523538,-0.030556,Tower Hamlets,0.0724058777370077
587,"Merchant Street, Bow",30090,28344,58434,51.526578,-0.027581,Tower Hamlets,0.07113225397182382
588,"Canton Street, Poplar",28397,27805,56202,51.511811,-0.025626,Tower Hamlets,0.06840410786444341
589,"Pennington Street, Wapping",28018,25250,53268,51.508622,-0.065006,Tower Hamlets,0.06481791580393527
590,"Naval Row, Blackwall",27792,28350,56142,51.508981,-0.00699,Tower Hamlets,0.06833077060349232
591,"Napier Avenue, Millwall",25859,26114,51973,51.487679,-0.021582,Tower Hamlets,0.06323505325507432
592,"Spindrift Avenue, Millwall",25465,26973,52438,51.49109,-0.018716,Tower Hamlets,0.06380341702744524
593,"Alpha Grove, Millwall",25106,25359,50465,51.497304,-0.022793,Tower Hamlets,0.06139184342983702
594,"Heron Quays DLR, Canary Wharf",25082,25803,50885,51.502661,-0.021596,Tower Hamlets,0.06190520425649462
595,"Lancaster Drive, Blackwall",23115,22900,46015,51.503143,-0.008428,Tower Hamlets,0.055952663242631435
596,"East Ferry Road, Cubitt Town",22189,22707,44896,51.49447,-0.014409,Tower Hamlets,0.054584923325893674
597,"Newby Place, Poplar",22059,22867,44926,51.508896,-0.012413,Tower Hamlets,0.05462159195636922
598,"Jubilee Crescent, Cubitt Town",21661,21575,43236,51.493381,-0.007542,Tower Hamlets,0.05255592577291362
599,"Preston's Road, Cubitt Town",20883,20940,41823,51.499286,-0.009152,Tower Hamlets,0.05082883327751553
600,"Cantrell Road, Bow",20361,18502,38863,51.521564,-0.022694,Tower Hamlets,0.047210861737261925
601,"Langdon Park, Poplar",18950,19150,38100,51.51549,-0.013475,Tower Hamlets,0.04627825623550061
602,"St. Mary & St. Michael Church, Stepney",18833,15903,34736,51.51417,-0.052099,Tower Hamlets,0.0421664804715097
603,"Stebondale Street, Cubitt Town",17846,20704,38550,51.489096,-0.009205,Tower Hamlets,0.04682828569263376
604,"Mudchute DLR, Cubitt Town",16928,17771,34699,51.490645,-0.014582,Tower Hamlets,0.042121255827256524
605,"Aberfeldy Street, Poplar",16768,16694,33462,51.513548,-0.005659,Tower Hamlets,0.040609285963981626
606,"Millharbour, Millwall",15432,15806,31238,51.496137,-0.019355,Tower Hamlets,0.03789091815806135
607,"St. John's Park, Cubitt Town",14702,14477,29179,51.496454,-0.009506,Tower Hamlets,0.03537422781975657
608,"Malmesbury Road, Bow",11465,10229,21694,51.529452,-0.027616,Tower Hamlets,0.026225404516108528
609,"Teviot Street, Poplar",10889,10649,21538,51.518811,-0.011662,Tower Hamlets,0.026034727637635705
610,"South Quay East, Canary Wharf",7899,8352,16251,51.50196,-0.016251,Tower Hamlets,0.019572492660162467
611,"Wormwood Street, Liverpool Street",213522,219701,433223,51.51615461,-0.082422399,City of London,0.5292322322151031
612,"Cheapside, Bank",163867,174166,338033,51.51397065,-0.09294031,City of London,0.41288266771620435
613,"Queen Street 1, Bank",152485,164610,317095,51.51155322,-0.0929401,City of London,0.38729040821964017
614,"Crosswall, Tower",149206,154840,304046,51.51159481,-0.077121322,City of London,0.3713407762504614
615,"Great Tower Street, Monument",148817,159092,307909,51.51048489,-0.082989638,City of London,0.37606247356802885
616,"Finsbury Circus, Liverpool Street",139933,155434,295367,51.51707521,-0.086685542,City of London,0.3607325414538867
617,"Queen Street 2, Bank",136821,164383,301204,51.511246,-0.093051,City of London,0.3678670346567449
618,"Newgate Street , St. Paul's",130967,149416,280383,51.5154186,-0.098850915,City of London,0.3424177828190354
619,"Monument Street, Monument",105963,112991,218954,51.50964,-0.08497,City of London,0.26733387276963055
620,"Moorfields, Moorgate",104954,113297,218251,51.51906932,-0.088285377,City of London,0.2664746045288203
621,"Bank of England Museum, Bank",104468,111617,216085,51.51444134,-0.087587447,City of London,0.26382712940848607
622,"Aldersgate Street, Barbican",104152,105799,209951,51.5208417,-0.097340162,City of London,0.25632961676392
623,"Godliman Street, St. Paul's",92320,98810,191130,51.51248445,-0.099141408,City of London,0.23332494029124673
624,"Queen Victoria Street, St. Paul's",89698,96063,185761,51.51196176,-0.097441687,City of London,0.22676247772380698
625,"West Smithfield Rotunda, Farringdon",89142,90620,179762,51.51821864,-0.100791005,City of London,0.21942997391638086
626,"St. Bride Street, Holborn",81814,101084,182898,51.51505991,-0.10534448,City of London,0.22326306808875762
627,"Museum of London, Barbican",78832,79048,157880,51.51782144,-0.096496865,City of London,0.1926838748475196
628,"Jewry Street, Aldgate",76932,78836,155768,51.51340693,-0.076793375,City of London,0.19010240326204136
629,"Tallis Street, Temple",74574,82146,156720,51.511891,-0.107349,City of London,0.1912660211357986
630,"New Fetter Lane, Holborn",71985,71251,143236,51.517428,-0.107987,City of London,0.1747846940247244
631,"Norton Folgate, Liverpool Street",68824,74881,143705,51.52111369,-0.078869751,City of London,0.17535794694782542
632,"Bouverie Street, Temple",67270,73794,141064,51.51382102,-0.107927706,City of London,0.17212988517829508
633,"Snow Hill, Farringdon",64926,65017,129943,51.51733427,-0.103604248,City of London,0.1585368238610112
634,"Houndsditch, Aldgate",63116,65709,128825,51.514449,-0.077178979,City of London,0.157170306231956
635,"St. Mary Axe, Aldgate",61761,63865,125626,51.51422502,-0.080660083,City of London,0.15326020793558054
636,"Golden Lane, Barbican",58057,58422,116479,51.52174785,-0.094475072,City of London,0.1420799425035874
637,"Barbican Centre, Barbican",57469,58520,115989,51.52004497,-0.092176447,City of London,0.14148102153915354
638,"Blackfriars Station, St. Paul's",56472,57861,114333,51.511934,-0.10307894,City of London,0.13945691313690356
639,"Devonshire Square, Liverpool Street",54404,54923,109327,51.51646835,-0.079684557,City of London,0.1333381409982179
640,"Temple Gardens, Temple",45561,46345,91906,51.510981,-0.10832249,City of London,0.11204466728106995
641,"Lower Thames Street, Monument",44665,45588,90253,51.50930161,-0.084985356,City of London,0.1100242257418675
642,"Breams Buildings, Holborn",44522,45034,89556,51.51593725,-0.111778348,City of London,0.10917229122715238
643,"Fore Street, Guildhall",40614,44526,85140,51.517842,-0.090075,City of London,0.10377466882115242
644,"Wood Street, Guildhall",40256,42572,82828,51.51700801,-0.09388536,City of London,0.10094873969917055
645,"King Edward Street, St Pauls",38732,40340,79072,51.51601,-0.0985,City of London,0.09635782716363255
646,"The Guildhall, Guildhall",37996,41473,79469,51.51573534,-0.093080779,City of London,0.09684307537359223
647,"Farringdon Street, Holborn",37099,37318,74417,51.516785,-0.10494775,City of London,0.09066807800151075
648,"Stonecutter Street, Holborn",32467,35624,68091,51.51580998,-0.105270275,City of London,0.0829358861219012
649,"Fore Street Avenue, Guildhall",31482,33834,65316,51.518093,-0.0914017,City of London,0.07954403780291344
650,"Fulham Broadway, Walham Green",146673,148639,295312,51.47993289,-0.19411695,Hammersmith and Fulham,0.36066531563134824
651,"Imperial Wharf Station, Sands End",98364,98643,197007,51.474665,-0.18316517,Hammersmith and Fulham,0.24050832500140562
652,"Parson's Green , Parson's Green",89590,88539,178129,51.472817,-0.199783,Hammersmith and Fulham,0.21743397813082876
653,"Parsons Green Station, Parsons Green",89174,87927,177101,51.475089,-0.201968,Hammersmith and Fulham,0.21617746639320018
654,"Stephendale Road, Sands End",88327,87134,175461,51.46822047,-0.190346493,Hammersmith and Fulham,0.21417291459387044
655,"Erin Close, Walham Green",86455,88189,174644,51.47946386,-0.195777222,Hammersmith and Fulham,0.2131743055572532
656,"Normand Park, West Kensington",83136,82080,165216,51.48438657,-0.20481514,Hammersmith and Fulham,0.20165057728647245
657,"Woodstock Grove, Shepherd's Bush",79355,82732,162087,51.50403821,-0.217400093,Hammersmith and Fulham,0.19782603912787328
658,"Crisp Road, Hammersmith",79008,82273,161281,51.48810829,-0.22660621,Hammersmith and Fulham,0.19684087525576371
659,"Barons Court Station, West Kensington",73656,70428,144084,51.49021762,-0.215087092,Hammersmith and Fulham,0.1758211939794998
660,"St. Peter's Terrace, Fulham",73110,69914,143024,51.47893931,-0.208485293,Hammersmith and Fulham,0.17452556903603061
661,"Coomer Place, West Kensington",71959,71577,143536,51.4835707,-0.2020387,Hammersmith and Fulham,0.17515138032947986
662,"Vereker Road, West Kensington",70464,68146,138610,51.48959104,-0.209378594,Hammersmith and Fulham,0.16913039120539564
663,"Chesilton Road, Fulham",69357,66595,135952,51.47569809,-0.20587627,Hammersmith and Fulham,0.16588155054526255
664,"Bridge Avenue, Hammersmith",68070,70095,138165,51.49208492,-0.229116862,Hammersmith and Fulham,0.16858647318667508
665,"Ravenscourt Park Station, Hammersmith",67817,71307,139124,51.49422354,-0.236769936,Hammersmith and Fulham,0.16975864707420996
666,"Halford Road, West Kensington",67092,65907,132999,51.483911,-0.19760944,Hammersmith and Fulham,0.16227213501878657
667,"Hammersmith Road, Hammersmith",65909,66090,131999,51.493267,-0.21985,Hammersmith and Fulham,0.16104984733626843
668,"Sandilands Road, Walham Green",64588,63746,128334,51.473611,-0.191803,Hammersmith and Fulham,0.1565701629798396
669,"Greyhound Road, Hammersmith",63508,61587,125095,51.48606206,-0.214428378,Hammersmith and Fulham,0.1526111731761634
670,"Aintree Street, Fulham",62336,59005,121341,51.48102131,-0.209973497,Hammersmith and Fulham,0.14802270521599048
671,"Finlay Street, Fulham",61373,59907,121280,51.4768851,-0.215895601,Hammersmith and Fulham,0.14794814566735687
672,"Bishop's Avenue, Fulham",58832,60668,119500,51.47303687,-0.214749808,Hammersmith and Fulham,0.14577247359247464
673,"Westfield Ariel Way, White City",56451,61867,118318,51.509158,-0.224103,Hammersmith and Fulham,0.14432772955173823
674,"Rainville Road, Hammersmith",55124,55087,110211,51.48373225,-0.223852256,Hammersmith and Fulham,0.13441864330956393
675,"William Morris Way, Sands End",54979,55053,110032,51.46881971,-0.184318843,Hammersmith and Fulham,0.13419985381439314
676,"Putney Bridge Station, Fulham",54527,55190,109717,51.468814,-0.210279,Hammersmith and Fulham,0.13381483319439996
677,"Shepherd's Bush Road North, Shepherd's Bush",52919,54034,106953,51.5015946,-0.222293381,Hammersmith and Fulham,0.1304364300399199
678,"Humbolt Road, Fulham",52858,50005,102863,51.48321729,-0.211860644,Hammersmith and Fulham,0.12543727341842087
679,"South Park, Sands End",52485,50378,102863,51.46706414,-0.193502076,Hammersmith and Fulham,0.12543727341842087
680,"Richmond Way, Shepherd's Bush",52067,51902,103969,51.50035306,-0.217515071,Hammersmith and Fulham,0.12678912359528588
681,"Fulham Park Road, Fulham",51851,50206,102057,51.473471,-0.20782,Hammersmith and Fulham,0.12445210954631125
682,"Eel Brook Common, Walham Green",51259,49307,100566,51.47625965,-0.193254007,Hammersmith and Fulham,0.12262967861167676
683,"BBC White City, White City",51169,53693,104862,51.514767,-0.225787,Hammersmith and Fulham,0.12788062649577453
684,"Charing Cross Hospital, Hammersmith",49822,48876,98698,51.48728535,-0.217995921,Hammersmith and Fulham,0.12034644522073293
685,"Southerton Road, Hammersmith",49616,53579,103195,51.494499,-0.228188,Hammersmith and Fulham,0.12584307292901686
686,"Star Road, West Kensington",48601,46664,95265,51.48724429,-0.205279052,Hammersmith and Fulham,0.11615033160664827
687,"Everington Street, Fulham",46877,45487,92364,51.48335692,-0.216305546,Hammersmith and Fulham,0.11260447503966323
688,"West Kensington Station, West Kensington",45350,44021,89371,51.49087074,-0.206029743,Hammersmith and Fulham,0.10894616800588654
689,"Irene Road, Parsons Green",44711,43660,88371,51.4737636,-0.197010096,Hammersmith and Fulham,0.10772388032336842
690,"Imperial Road, Sands End",43708,43123,86831,51.47514228,-0.187278987,Hammersmith and Fulham,0.10584155729229054
691,"Brook Green South, Brook Green",43703,43485,87188,51.49434708,-0.215804559,Hammersmith and Fulham,0.1062779139949495
692,"Crabtree Lane, Fulham",43279,41835,85114,51.48294452,-0.219346128,Hammersmith and Fulham,0.10374288934140695
693,"Beryl Road, Hammersmith",42873,41907,84780,51.48814438,-0.222456468,Hammersmith and Fulham,0.1033346452554459
694,"Michael Road, Walham Green",41021,40851,81872,51.47727637,-0.189210466,Hammersmith and Fulham,0.09978023267468324
695,"Gwendwr Road, West Kensington",40716,39372,80088,51.491026,-0.209121,Hammersmith and Fulham,0.09759967144907093
696,"Westfield Southern Terrace ,Shepherd's Bush",36991,41362,78353,51.506256,-0.218337,Hammersmith and Fulham,0.09547900231990201
697,"Blythe Road West, Shepherd's Bush",35395,34636,70031,51.49968,-0.221791551,Hammersmith and Fulham,0.08530712422598632
698,"Little Brook Green, Brook Green",35159,38258,73417,51.496664,-0.223868,Hammersmith and Fulham,0.08944579031899264
699,"Manbre Road, Hammersmith",31546,30659,62205,51.485743,-0.223616,Hammersmith and Fulham,0.0757415008225996
700,"Ranelagh Gardens, Fulham",30635,30384,61019,51.46760141,-0.20682737,Hammersmith and Fulham,0.07429186763113313
701,"Elysium Place, Fulham",30284,27984,58268,51.47107905,-0.207842908,Hammersmith and Fulham,0.07092935421652581
702,"Peterborough Road, Sands End",26854,25576,52430,51.46904022,-0.19627483,Hammersmith and Fulham,0.0637936387259851
703,"Hurlingham Park, Parsons Green",25885,24958,50843,51.470131,-0.20464,Hammersmith and Fulham,0.06185386817382886
704,"Broomhouse Lane, Parsons Green",25685,24948,50633,51.46841875,-0.199135704,Hammersmith and Fulham,0.06159718776050006
705,"Queensdale Road, Shepherd's Bush",23944,25149,49093,51.50659035,-0.216104479,Hammersmith and Fulham,0.059714864729422175
706,"Colet Gardens, Hammersmith",7810,7961,15771,51.491093,-0.216493,Hammersmith and Fulham,0.018985794572553776
707,"Blythe Road, Olympia",6715,6499,13214,51.496927,-0.21350087,Hammersmith and Fulham,0.01586040496835497
708,"Black Lion Gate, Kensington Gardens",265498,264954,530452,51.50990837,-0.187842717,Kensington and Chelsea,0.6480740412986562
709,"Palace Gate, Kensington Gardens",164626,164591,329217,51.50204238,-0.184400221,Kensington and Chelsea,0.4021069795071247
710,"South Kensington Station, South Kensington",147379,150694,298073,51.494412,-0.173881,Kensington and Chelsea,0.3640400519227807
711,"Limerston Street, West Chelsea",138831,140024,278855,51.485587,-0.18119,Kensington and Chelsea,0.3405501272401477
712,"Derry Street, Kensington",135422,139839,275261,51.50136494,-0.191462381,Kensington and Chelsea,0.33615722530917763
713,"Gloucester Road Station, South Kensington",128598,129017,257615,51.49418566,-0.18267094,Kensington and Chelsea,0.3145887368634631
714,"Notting Hill Gate Station, Notting Hill",114977,100344,215321,51.50935342,-0.196422,Kensington and Chelsea,0.26289330161904223
715,"Flood Street, Chelsea",112864,114100,226964,51.48802358,-0.166878535,Kensington and Chelsea,0.2771243971066006
716,"Sedding Street, Sloane Square",109157,119241,228398,51.49313,-0.156876,Kensington and Chelsea,0.27887715764333154
717,"Sloane Avenue, Knightsbridge",100085,102208,202293,51.4931848,-0.167894973,Kensington and Chelsea,0.24696933769119633
718,"Drayton Gardens, West Chelsea",99669,100317,199986,51.487196,-0.179369,Kensington and Chelsea,0.24414952000762707
719,"Bramham Gardens, Earl's Court",96476,90207,186683,51.49016361,-0.19039362,Kensington and Chelsea,0.2278894269670887
720,"All Saints Church, Portobello",91613,91116,182729,51.51632095,-0.202608612,Kensington and Chelsea,0.22305650147041206
721,"Wright's Lane, Kensington",89804,95741,185545,51.50039792,-0.193068385,Kensington and Chelsea,0.22649846358438308
722,"Phillimore Gardens, Kensington",86380,90680,177060,51.49960695,-0.197574246,Kensington and Chelsea,0.21612735259821692
723,"The Vale, Chelsea",85680,86163,171843,51.48512191,-0.174971902,Kensington and Chelsea,0.20975067775851997
724,"De Vere Gardens, Kensington",80618,73118,153736,51.50173726,-0.184980612,Kensington and Chelsea,0.1876187146911646
725,"Cadogan Gardens, Chelsea",80321,83247,163568,51.492462,-0.159919,Kensington and Chelsea,0.19963624718568262
726,"Palace Gardens Terrace, Notting Hill",79717,68634,148351,51.50860544,-0.193764092,Kensington and Chelsea,0.18103669552080454
727,"Old Brompton Road, South Kensington",77663,75273,152936,51.49094565,-0.181190899,Kensington and Chelsea,0.1866408845451501
728,"Seville Street, Knightsbridge",77602,79593,157195,51.50185512,-0.159237081,Kensington and Chelsea,0.19184660778499468
729,"Penywern Road, Earl's Court",77591,74604,152195,51.49159394,-0.192369256,Kensington and Chelsea,0.18573516937240414
730,"Queen's Gate (North), Kensington",76819,77560,154379,51.50102668,-0.180246101,Kensington and Chelsea,0.18840464567102372
731,"Royal Avenue 2, Chelsea",76278,77572,153850,51.490083,-0.162418,Kensington and Chelsea,0.1877580554869716
732,"Harcourt Terrace, West Brompton",75168,71756,146924,51.48795853,-0.187404506,Kensington and Chelsea,0.17929249099785122
733,"Turquoise Island, Notting Hill",74737,72416,147153,51.51431171,-0.200838199,Kensington and Chelsea,0.17957239487714788
734,"Harriet Street, Knightsbridge",74400,79348,153748,51.50024195,-0.15934065,Kensington and Chelsea,0.1876333821433548
