Month,ebike_hires,classics_hires,Month_name,totals,percent,% Classic Bikes,% Ebike Bikes
10,46741,805153,Oct,851894,5.486715483381735,94.51328451661827,5.486715483381735
11,47204,669996,Nov,717200,6.581706636921361,93.41829336307865,6.581706636921361
12,34193,433354,Dec,467547,7.313275456798996,92.68672454320101,7.313275456798996
